Region,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
default,w,w,w,s,s,s,s,s,s,w,w,w
1,w,w,w,s,s,s,s,s,s,w,w,w
2,w,w,w,s,s,s,s,s,s,w,w,w
3,w,w,w,s,s,s,s,s,s,w,w,w
4,w,w,w,w,s,s,s,s,s,w,w,w
5,w,w,w,s,s,s,s,s,s,s,w,w
6,w,w,w,s,s,s,s,s,s,s,w,w
7,w,w,w,s,s,s,s,s,s,s,w,w
8,w,w,w,s,s,s,s,s,s,s,w,w
9,w,w,w,s,s,s,s,s,s,s,w,w
10,w,w,w,s,s,s,s,s,s,s,w,w
11,w,w,w,s,s,s,s,s,s,s,w,w
12,w,w,w,s,s,s,s,s,s,s,w,w
13,w,w,w,s,s,s,s,s,s,s,w,w
14,w,w,w,s,s,s,s,s,s,s,w,w
15,w,w,w,s,s,s,s,s,s,s,w,w
16,w,w,w,w,w,s,s,s,s,s,w,w
17,w,w,w,w,w,s,s,s,s,s,w,w
18,w,w,w,w,w,s,s,s,s,s,w,w
19,w,w,w,w,s,s,s,s,s,w,w,w
20,w,w,w,w,s,s,s,s,s,w,w,w
21,w,w,w,w,s,s,s,s,s,w,w,w
22,w,w,w,w,s,s,s,s,s,w,w,w
23,w,w,w,w,s,s,s,s,s,w,w,w
24,w,w,w,w,s,s,s,s,s,w,w,w
25,w,w,w,w,s,s,s,s,s,w,w,w
26,w,w,w,w,s,s,s,s,s,w,w,w
27,w,w,w,s,s,s,s,s,s,s,w,w
28,w,w,w,s,s,s,s,s,s,s,w,w
29,w,w,w,s,s,s,s,s,s,s,w,w
30,w,w,w,s,s,s,s,s,s,s,w,w
31,w,w,w,s,s,s,s,s,s,s,w,w
32,w,w,w,s,s,s,s,s,s,s,w,w
33,w,w,w,s,s,s,s,s,s,s,w,w
34,w,w,w,s,s,s,s,s,s,s,w,w
35,w,w,w,s,s,s,s,s,s,s,w,w
36,w,w,w,s,s,s,s,s,s,s,w,w
37,w,w,w,s,s,s,s,s,s,s,w,w
38,w,w,s,s,s,s,s,s,s,s,w,w
39,w,w,w,s,s,s,s,s,s,s,w,w
40,w,w,w,s,s,s,s,s,s,s,w,w
41,w,w,w,s,s,s,s,s,s,s,w,w
42,w,w,w,s,s,s,s,s,s,s,w,w
43,w,w,w,s,s,s,s,s,s,s,w,w
44,w,w,w,s,s,s,s,s,s,s,w,w
45,w,w,w,s,s,s,s,s,s,s,w,w
46,w,w,w,s,s,s,s,s,s,s,w,w
47,w,w,w,s,s,s,s,s,s,s,w,w
48,w,w,w,s,s,s,s,s,s,s,w,w
49,w,w,w,s,s,s,s,s,s,s,w,w
50,w,w,w,s,s,s,s,s,s,s,w,w
51,w,w,w,s,s,s,s,s,s,s,w,w
52,w,w,w,s,s,s,s,s,s,s,w,w
53,w,w,w,s,s,s,s,s,s,s,w,w
54,w,w,w,s,s,s,s,s,s,s,w,w
55,w,w,w,s,s,s,s,s,s,s,w,w
56,w,w,w,w,w,s,s,s,s,s,w,w
57,w,w,w,w,w,s,s,s,s,s,w,w
58,w,w,s,s,s,s,s,s,s,s,w,w
59,w,w,s,s,s,s,s,s,s,s,w,w
60,w,w,s,s,s,s,s,s,s,s,w,w
61,w,w,s,s,s,s,s,s,s,s,w,w
62,w,w,s,s,s,s,s,s,s,s,w,w
63,w,w,s,s,s,s,s,s,s,s,w,w
64,w,w,s,s,s,s,s,s,s,s,w,w
65,w,w,s,s,s,s,s,s,s,s,w,w
66,w,w,s,s,s,s,s,s,s,s,w,w
67,w,w,s,s,s,s,s,s,s,s,w,w
68,w,w,s,s,s,s,s,s,s,s,w,w
69,w,w,s,s,s,s,s,s,s,s,w,w
