region_code,region_descriptor,min_lat,min_lon,max_lat,max_lon
1,Alpine (GBV),38.31,-120.18,38.94,-119.50
2,Inyo (GBV),35.77,-118.80,37.47,-115.63
3,Mono (GBV),37.46,-119.66,38.72,-117.83
4,Lake (LC),38.66,-123.10,39.59,-122.34
5,El Dorado (LT),38.66,-120.22,39.07,-119.87
6,Placer (LT),39.0,-120.3,39.32,-120.00
7,Amador (MC),38.20,-121.03,38.71,-120.00
8,Calaveras (MC),37.82,-121.00,38.52,-120.00
9,El Dorado (MC),38.50,-121.15,39.12,-119.98
10,Mariposa (MC),37.19,-120.40,37.91,-119.30
11,Nevada (MC),39.00,-121.28,39.53,-120.00
12,Placer (MC),38.88,-121.06,39.32,-120.00
13,Plumas (MC),39.59,-121.50,40.45,-120.09
14,Sierra (MC),39.39,-121.06,39.78,-120.00
15,Tuolumne (MC),37.63,-120.66,38.44,-119.19
16,Monterey (NCC),35.74,-122.16,36.99,-120.15
17,San Benito (NCC),36.19,-121.65,36.99,-120.59
18,Santa Cruz (NCC),36.79,-122.35,37.29,-121.58
19,Del Norte (NC),41.35,-124.61,42.10,-123.50
20,Humboldt (NC),39.89,-124.61,41.49,-123.40
21,Mendocino (NC),38.67,-123.99,40.09,-122.82
22,Sonoma (NC),38.22,-123.65,38.91,-122.54
23,Trinity (NC),39.97,-123.63,41.37,-122.44
24,Lassen (NEP),39.70,-121.34,41.22,-119.90
25,Modoc (NEP),41.15,-121.47,42.05,-119.93
26,Siskiyou (NEP),40.99,-123.72,42.01,-121.44
27,Butte (SV),39.28,-122.10,40.16,-121.00
28,Colusa (SV),38.91,-122.79,39.42,-121.79
29,Glenn (SV),39.37,-122.94,39.80,-121.84
30,Placer (SV),38.71,-121.49,39.09,-120.99
31,Sacramento (SV),38.00,-121.87,38.74,-121.02
32,Shasta (SV),40.28,-123.07,41.19,-121.31
33,Solano (SV),38.03,-122.41,38.54,-121.59
34,Sutter (SV),38.73,-121.95,39.31,-121.41
35,Tehama (SV),39.79,-123.07,40.46,-121.34
36,Yolo (SV),38.31,-122.43,38.93,-121.50
37,Yuba (SV),38.91,-121.64,39.64,-121.00
38,San Diego (SD),32.50,-117.70,33.51,-115.98
39,Alameda (SF),37.44,-122.38,37.91,-121.46
40,Contra Costa (SF),37.71,-122.45,38.10,-121.53
41,Marin (SF),37.79,-123.06,38.37,-122.44
42,Napa (SF),38.15,-122.65,38.87,-122.06
43,San Francisco (SF),37.69,-122.53,37.83,-122.35
44,San Mateo (SF),36.97,-122.70,37.83,-122.08
45,Santa Clara (SF),36.89,-122.21,37.49,-121.20
46,Solano (SF),38.03,-122.41,38.54,-121.59
47,Sonoma (SF),38.02,-122.98,38.61,-122.32
48,Fresno (SJV),35.90,-120.92,37.59,-118.35
49,Kern (SJV),34.78,-120.20,35.80,-118.55
50,Kings (SJV),35.77,-120.32,36.49,-119.47
51,Madera (SJV),36.76,-120.55,37.78,-119.02
52,Merced (SJV),36.74,-121.25,37.64,-120.05
53,San Joaquin (SJV),37.48,-121.59,38.31,-120.92
54,Stanislaus (SJV),37.13,-121.49,38.08,-120.38
55,Tulare (SJV),35.78,-119.58,36.75,-117.98
56,San Luis Obispo (SCC),34.89,-121.64,35.80,-119.37
57,Santa Barbara (SCC),33.70,-121.15,35.12,-118.96
58,Ventura (SCC),33.97,-119.50,34.91,-118.58
59,Los Angeles (SC),33.67,-118.98,34.88,-117.60
60,Orange (SC),33.35,-118.14,33.95,-117.40
61,Riverside (SC),33.32,-117.68,34.1,-116.46
62,San Bernardino (SC),33.86,-117.81,34.34,-116.68
63,Imperial (SS),32.51,-116.11,33.49,-114.45
64,Riverside (SS),33.36,-116.79,34.15,-115.21
65,Kern (MD),34.77,-118.83,35.80,-117.61
66,Riverside (MDMDAQMD),33.37,-115.13,34.15,-114.35
67,Riverside (MDSCAQMD),33.39,-116.39,34.11,-114.84
68,Los Angeles (MD),34.21,-118.77,34.88,-117.60
69,San Bernardino (MD),33.86,-117.81,35.81,-114.13
