Air_Basin,Year,NO,NO2,HONO
default,default,0.574,0.1,0.0203640715
SC,2005,0.573913,0.1,0.0205003819
SC,2006,0.573261,0.101,0.0205000384
SC,2007,0.567391,0.11,0.0205000799
SC,2008,0.562174,0.118,0.0204988983
SC,2009,0.557609,0.125,0.0204980601
SC,2010,0.54913,0.138,0.0204982942
SC,2011,0.545217,0.144,0.0204977997
SC,2012,0.533478,0.162,0.020496316
SC,2013,0.51913,0.184,0.0204950248
SC,2014,0.495,0.221,0.0204917139
SC,2015,0.485217,0.236,0.0204912609
SC,2016,0.47413,0.253,0.0204901208
SC,2017,0.464348,0.268,0.020488101
SC,2018,0.456522,0.28,0.0204871118
SC,2019,0.449348,0.291,0.0204864663
SC,2020,0.438261,0.308,0.0204853261
SC,2021,0.417391,0.34,0.020483733
SC,2022,0.396522,0.372,0.0204805731
SC,2023,0.396522,0.372,0.0204805731
SC,2024,0.39587,0.373,0.0204802295
SC,2025,0.395217,0.374,0.0204814527
SC,2026,0.394565,0.375,0.0204811092
SC,2027,0.393261,0.377,0.0204804221
SC,2028,0.392609,0.378,0.0204800785
SC,2029,0.391957,0.379,0.0204797349
SC,2030,0.391304,0.38,0.0204809582
SC,2031,0.390652,0.381,0.0204806146
SC,2032,0.39,0.382,0.020480271
SC,2033,0.389348,0.383,0.0204799275
SC,2034,0.388696,0.384,0.0204795839
SC,2035,0.388043,0.385,0.0204808072
SJV,2005,0.573913,0.1,0.0205003819
SJV,2006,0.572609,0.102,0.0204996948
SJV,2007,0.566087,0.112,0.0204993928
SJV,2008,0.558913,0.123,0.0204987472
SJV,2009,0.555,0.129,0.0204982527
SJV,2010,0.551087,0.135,0.0204977581
SJV,2011,0.547174,0.141,0.0204972636
SJV,2012,0.536739,0.157,0.020496467
SJV,2013,0.521087,0.181,0.0204944887
SJV,2014,0.491087,0.227,0.0204912193
SJV,2015,0.479348,0.245,0.0204897357
SJV,2016,0.468261,0.262,0.0204885955
SJV,2017,0.45587,0.281,0.0204867683
SJV,2018,0.448043,0.293,0.0204873459
SJV,2019,0.441522,0.303,0.0204854771
SJV,2020,0.431087,0.319,0.0204846806
SJV,2021,0.41087,0.35,0.0204818642
SJV,2022,0.38087,0.396,0.0204785948
SJV,2023,0.378261,0.4,0.0204787874
SJV,2024,0.377609,0.401,0.0204784438
SJV,2025,0.377609,0.401,0.0204784438
SJV,2026,0.376957,0.402,0.0204781002
SJV,2027,0.376957,0.402,0.0204781002
SJV,2028,0.376304,0.403,0.0204793235
SJV,2029,0.376304,0.403,0.0204793235
SJV,2030,0.376304,0.403,0.0204793235
SJV,2031,0.375652,0.404,0.0204789799
SJV,2032,0.375652,0.404,0.0204789799
SJV,2033,0.375,0.405,0.0204786364
SJV,2034,0.375,0.405,0.0204786364
SJV,2035,0.375,0.405,0.0204786364
